X,Y
-130.518341,54.702492
-130.527222,54.701935
-130.538605,54.70388
-130.567505,54.716934
-130.574432,54.720268
-130.585266,54.727768
-130.608032,54.748329
-130.610535,54.753052
-130.611664,54.758049
-130.606659,54.763054
-130.488037,54.807495
-130.47998,54.808884
-130.469452,54.80777
-130.458618,54.80027
-130.446655,54.787216
-130.440277,54.778328
-130.437775,54.773605
-130.435822,54.763329
-130.439728,54.751106
-130.453888,54.719154
-130.457489,54.712769
-130.463318,54.708603
-130.518341,54.702492
